contig	Length	RR131Jul_Bulk_S47	RR131Oct_Bulk_S12	RR131Oct_vir_S17	RR132Jul_Bulk_S49	RR132July_vir_S9	RR132Oct_Bulk_S20	RR132Oct_vir_S16	RR231Jul_Bulk_S41	RR231July_vir_S32	RR231Oct_Bulk_S40	RR231Oct_vir_S21	RR232Jul_Bulk_S38	RR232Oct_Bulk_S54	RR232Oct_vir_S28	RR451Jul_Bulk_S30	RR451July_vir_S10	RR451Oct_Bulk_S25	RR451Oct_vir_S11	RR452Jul_Bulk_S31	RR452Oct_Bulk_S26	RR452Oct_vir_S6	RR641Jul_Bulk_S58	RR641Oct_Bulk_S50	RR641Oct_vir_S1	RR642Jul_Bulk_S45	RR642July_vir_S5	RR642Oct_Bulk_S51	RR642Oct_vir_S19	RR681Jul_Bulk_S43	RR681July_vir_S24	RR681Oct_Bulk_S57	RR681Oct_vir_S18	RR682Jul_Bulk_S36	RR682Oct_Bulk_S22	RR682Oct_vir_S8	RR891Jul_Bulk_S29	RR891July_vir_S2	RR891Oct_Bulk_S44	RR891Oct_vir_S15	RR892Jul_Bulk_S33	RR892Oct_Bulk_S56	RR892Oct_vir_S23
biochar_2018_1466	21638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.1404	0	0	0	0	0	0	0	0	0	3.8898	0	0	0	0	0	0	0	0	0	2.283	24.1053	0	0	0	0	3.4063
biochar_2018_147	57140	0	0	0	0	0	0	0	3.452	5.1939	0	0	0	0	16.0819	7.1213	60.4662	0	0	0	1.8476	37.8475	0	0	205.1783	2.2758	2807.7649	0	16.1272	0	7.6381	0	3.2948	0	0	312.3876	0	414.411	1.5653	0	0	0	11.4123
biochar_2018_1480	21315	0	0	0	0	3.0355	0	1.6263	0	2.1174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6758	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_1495	21094	0	0	0	0	2.5857	0	0	0	0	0	0	0	0	0	0	3.0588	0	0	0	0	0	0	0	0	0	3.9847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_1512	20895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.8844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_1517	20782	0	0	0	0	23.5405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.242	0	0	352.7913	0	42.3455	0	0	0	0	0	0	0	0	4.712	0	0	0	0	0	0	0
biochar_2018_1531	20597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.5171	0	0	0	0	0	0	0	0	0	2.8767	0	0	0	0	0	0	0	0	2.4241	0	19.5611	0	0	0	0	0
biochar_2018_1534	20527	0	0	0	0	0	0	0	0	7.2029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5618	0	0	0	0	0
biochar_2018_1540	20431	0	0	0	0	0	0	0	3.2943	1.7376	0	0	0	0	0	0	10.7199	0	0	0	0	0	0	0	0	0	2.9051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_1544	20334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.5043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_1561	20175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.462	0	29.6929	0	0	23.2285	0	0	199.081	0	84.7601	0	0	0	5.2241	0	0	0	0	14.9999	0	22.4004	0	0	0	0	0
biochar_2018_1564	20148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.6075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_1579	19901	0	0	0	0	2.3845	0	0	0	0	0	0	0	0	0	0	6.2238	0	0	0	0	0	0	0	0	0	4.4424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_1584	19851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8917	0	0	0	0	0
biochar_2018_1585	19850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6356	0	0	0	0	0
biochar_2018_1591	19764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3418	22.0569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.7146	0	0	0	0	2.2461
biochar_2018_1617	19376	0	0	7.1473	0	0	0	0	0	2.1695	0	0	0	0	0	0	3.368	0	0	0	0	3.3583	0	0	0	0	32.011	0	0	0	0	0	0	0	0	0	0	4.4159	0	0	0	0	0
biochar_2018_1621	19325	0	0	0	0	0	0	0	0	7.8093	0	0	0	0	0	0	6.96	0	0	0	0	0	0	0	0	0	2.2512	0	0	0	0	0	0	0	0	0	0	3.7873	0	0	0	0	4.0743
biochar_2018_1624	19290	0	0	25.9405	0	19.0513	0	17.5857	0	0	0	0	0	0	0	0	41.4276	0	72.438	0	0	65.0023	0	0	24.331	0	4.1164	0	0	0	0	0	0	0	0	2.6778	0	0	0	0	0	0	0
biochar_2018_1627	19253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.6706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_1630	19231	0	0	0	0	8.9676	0	0	15.5447	2.2528	0	0	0	0	0	2.4333	11.4569	0	0	0	0	0	0	0	0	0	6.4169	0	0	0	0	0	0	0	0	0	0	5.5717	0	0	0	0	0
biochar_2018_1637	19131	0	2.6531	52.1388	0	41.0557	0	31.1544	0	0	0	2.3615	0	0	0	0	99.9571	0	166.22	0	0	141.9326	0	0	50.1995	0	9.9717	0	0	0	0	0	0	0	0	4.9555	0	6.5732	0	0	0	0	0
biochar_2018_1646	19063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.7137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.3967	0	0	0	0	0
biochar_2018_165	55967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.6526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_1650	19033	0	0	0	0	0	0	0	3.6323	3.0092	2.2344	0	3.1228	2.5802	3.044	0	1.7894	0	1.7718	0	0	2.0801	2.796	0	53.329	2.1068	66.5255	0	0	4.7548	3.4443	2.2928	0	6.4052	0	26.5934	0	0	0	0	0	0	0
biochar_2018_1659	18963	0	0	0	0	7.3607	0	0	0	0	0	0	0	0	0	0	5.4857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_1697	18583	0	0	0	0	13.3106	0	2.3283	0	3.3178	0	0	0	0	2.4316	0	2.7898	0	0	0	0	0	0	0	0	0	2.033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_1701	18506	0	0	0	0	0	0	0	1.9193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_1712	18386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_1741	18075	0	0	0	0	6.972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_1745	18041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.606	20.9263	0	1.8473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.5205	0	0	0	0	2.1071
biochar_2018_1752	17951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_1768	17809	0	0	0	0	6.1576	0	0	2.6946	2.6982	0	0	4.1893	0	0	1.7912	1.6048	0	19.115	0	0	5.7814	0	0	10.3973	0	11.3972	0	0	2.4665	3.2268	0	0	2.8714	0	1.8008	0	0	0	0	0	0	0
biochar_2018_1777	17674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.7171	0	6.2429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_1779	17648	0	0	0	0	0	0	0	2.1969	2.5047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_1782	17638	0	0	0	0	8.329	0	0	0	0	0	0	0	0	0	0	14.3434	0	0	0	0	0	0	0	0	0	10.7932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_1783	17624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_1793	17512	0	0	0	0	2.3295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_1799	17463	0	0	0	0	5.7538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_182	54387	0	0	0	0	14.628	0	0	0	0	0	0	0	0	0	0	24.2753	0	0	0	0	0	0	0	0	0	14.9043	0	0	0	0	0	0	0	0	0	0	9.4051	0	0	0	0	0
biochar_2018_1820	17243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3764	0	0	0	0	0	0	0	0	0	0	4.22	0	0	0	0	0
biochar_2018_1824	17215	0	0	0	0	15.3667	0	1.8757	0	0	0	0	0	0	0	0	0	0	0	0	0	219.3079	0	0	84.4415	0	606.1866	0	0	0	3.4559	0	2.8886	0	0	30.3015	0	4.675	0	0	0	0	0
biochar_2018_1827	17169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.1855	0	0	29.2968	0	0	61.9838	0	85.2247	0	0	0	4.8409	0	0	0	0	7.9444	0	0	0	0	0	0	0
biochar_2018_1857	16799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5724	0	0	0	0	0	0	0	3.3413
biochar_2018_1887	16503	0	0	0	0	0	0	0	1.6845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_1898	16409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9548	0	0	0	0	0
biochar_2018_1925	16150	0	0	0	0	0	0	0	0	1.5265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1024	0	0	0	0	0	0	0	2.4596
biochar_2018_1929	16109	0	0	0	0	51.1735	0	0	0	6.5302	0	0	0	0	0	0	134.587	0	3.1024	0	0	10.4033	0	0	42.5079	0	85.3212	0	3.5969	0	7.3538	0	2.3139	0	0	76.7677	0	44.4661	0	0	0	0	0
biochar_2018_1943	16025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.7212	0	0	0	0	0
biochar_2018_1950	15919	0	0	0	4.2198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_1956	15844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1287
biochar_2018_1963	15808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84.3696	0	36.5891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_1976	15729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.1209	0	21.5482	0	0	14.2712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83.2882	0	10.6947	0	0	7.1212
biochar_2018_1981	15649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_1983	15641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.3203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_1998	15568	0	0	0	0	0	0	0	0	4.094	0	0	0	0	0	1.5001	139.2404	0	4.2983	0	0	15.3608	0	0	25.0672	0	70.3854	0	0	0	2.5159	0	0	0	0	26.2728	0	77.6171	0	0	0	0	0
biochar_2018_1999	15567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72.3356	0	0	0	0	4.6698	0	0	22.6837	0	46.8775	0	0	0	0	0	0	0	0	36.1794	0	39.919	0	0	0	0	0
biochar_2018_2	153394	0	0	0	0	3.1687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.3889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_201	52817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8143	0	0	0	0	0
biochar_2018_2015	15393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.5423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_2036	15216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.6373	0	0	0	0	0
biochar_2018_2038	15200	0	0	0	0	18.2387	0	0	0	1.4904	0	0	0	0	0	0	101.6854	0	2.1504	0	0	12.2031	0	0	3.6122	0	18.4858	0	0	0	0	0	0	0	0	12.4921	0	19.734	0	0	0	0	0
biochar_2018_2043	15173	0	0	0	0	5.8119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_2049	15127	0	0	0	0	8.7476	0	0	0	0	0	0	0	0	0	0	46.2363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.7416	0	0	0	0	0
biochar_2018_2068	14976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_208	52608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.096	0	0	0	0	0	0	0
biochar_2018_2085	14861	0	0	0	0	5.4021	0	0	0	1.7564	0	0	0	0	0	0	5.5288	0	0	0	0	0	0	0	72.5058	0	87.8979	1.466	2.2429	0	1.8655	0	0	0	0	9.0001	0	9.0764	0	0	0	0	0
biochar_2018_2088	14843	0	0	0	0	6.7923	0	0	2.9784	4.7676	0	0	5.5518	0	1.4798	1.7842	0	0	14.187	0	0	4.1208	0	0	11.7846	0	11.0656	0	0	2.4823	5.4624	0	0	2.7075	0	0	0	2.0677	0	0	0	0	0
biochar_2018_2090	14830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.0541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0473	0	0	0
biochar_2018_2098	14750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.3136	0	6.2061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_2102	14724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.935	0	0	0	0	0
biochar_2018_2113	14670	0	0	0	0	9.1582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_2134	14493	0	0	0	0	1.5997	0	0	0	3.2692	0	0	0	0	0	0	86.1127	0	0	0	0	3.4862	0	0	3.1279	0	52.6902	0	0	0	0	0	0	0	0	3.7022	0	11.6329	0	0	0	0	0
biochar_2018_2139	14460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_2172	14247	0	0	0	0	0	0	0	2.3298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.631	0	33.7577	0	0	2.7178	0	0	0	2.5146	0	14.2579	0	0	0	0	0	0	0
biochar_2018_2174	14239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8967	0	0	3.1782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_2182	14211	0	0	0	0	0	0	0	0	3.5601	0	0	0	0	0	0	64.8506	0	0	0	0	3.6034	0	0	2.863	0	46.6195	0	0	0	0	0	0	0	0	0	0	17.2078	0	0	0	0	0
biochar_2018_2183	14206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biochar_2018_2205	14038	0	0	0	0	64.2563	0	0	0	0	0	0	0	0	2.4267	0	21.83	0	3.9669	0	0	8.4145	0	0	123.2132	0	16.5342	0	0	0	9.2661	0	8.9352	0	0	18.5412	0	3.5996	0	0	0	0	0
biochar_2018_2210	14013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.7471
biochar_2018_2211	14010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.3198	0	0	0	0	2.356
biochar_2018_2219	13965	0	0	0	0	21.8331	0	0	0	0	0	0	0	0	0	0	5.9481	0	0	0	0	0	0	0	6.9662	0	10.4884	0	0	0	0	0	0	0	0	0	0	9.899	0	0	0	0	0
biochar_2018_2221	13957	0	0	10.5886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5739
biochar_2018_2226	13926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.798	0	0	0	0	4.9476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.0932	0	0	0	0	0
